Name;XT;Module;Channel

CEMENT_M_1;AI;1;1
WATER_M_1;AI;1;2
ADDITIONS_M_1;AI;1;3
FILLERS_M_1;AI;1;4

MIXER_I_1;AI;2;1

DCEMENT_CLOSED_1;DI;3;1
DWATER_CLOSED_1;DI;3;2
DADDITIONS_CLOSED_1;DI;3;3
AUGER_ISON_1;DI;3;4
WPUMP_ISON_1;DI;3;5
APUMP_ISON_1;DI;3;6
APUMP_ISON_2;DI;3;7
FILLER_CLOSED_1;DI;3;8

FILLER_CLOSED_2;DI;4;1
FILLER_CLOSED_3;DI;4;2
MIXER_ISON_1;DI;4;3
MIXER_CLOSED_1;DI;4;4
MIXER_OPENED_1;DI;4;5
CONVEYOR_ISON_1;DI;4;6
TCONVEYOR_ISON_1;DI;4;7
ADDITION_Q_2;CNT8;4;1

DCEMENT_OPEN_1;DO;5;1
DWATER_OPEN_1;DO;5;2
DADDITIONS_OPEN_1;DO;5;3
FILLER_OPEN_1;DO;5;4
FILLER_OPEN_2;DO;5;5
FILLER_OPEN_3;DO;5;6
MIXER_OPEN_1;DO;5;7
WATER_OPEN_1;DO;5;8

AERATOR_ON_1;DO;6;1
CONVEYOR_ON_1;DO;6;2
TCONVEYOR_ON_1;DO;6;3
AUGER_ON_1;DO;6;4
WPUMP_ON_1;DO;6;5
APUMP_ON_1;DO;6;6
APUMP_ON_2;DO;6;7
MIXER_ON_1;DO;6;8

VIBRATOR_ON_1;DO;7;1
VIBRATOR_ON_2;DO;7;2
VIBRATOR_ON_3;DO;7;3
SVIBRATOR_ON_1;DO;7;4
DC_VIBRATOR_ON_1;DO;7;5
